Open time,Open,High,Low,Close,Volume,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
1641081600,47722.66000000,47750.00000000,47381.12000000,47625.30000000,1082.50817000,51510548.66015400,32921,544.81807000,25926023.58723130
1641085200,47625.29000000,47641.83000000,47315.38000000,47377.97000000,465.75360000,22096206.48265000,24393,232.39924000,11024506.79340980
1641088800,47377.97000000,47449.56000000,47275.50000000,47370.50000000,452.39245000,21431205.77444050,25513,215.80473000,10223953.17078540
1641092400,47370.49000000,47467.11000000,47269.47000000,47329.47000000,387.25302000,18338323.32437540,18986,183.63779000,8697281.43242560
1641096000,47329.47000000,47415.73000000,46770.23000000,46910.30000000,1259.68820000,59314365.86586180,36223,585.93599000,27590671.97547690
1641099600,46910.30000000,47089.63000000,46832.08000000,47081.28000000,686.20377000,32222910.71124100,24054,356.83931000,16758172.43975900
1641103200,47081.28000000,47244.00000000,47011.24000000,47122.61000000,528.20197000,24892334.12044100,19779,299.01836000,14091987.13146460
1641106800,47122.60000000,47300.00000000,47087.62000000,47173.45000000,544.37433000,25684083.14528430,20702,262.37642000,12379787.66950860
1641110400,47173.44000000,47247.12000000,46970.05000000,47222.40000000,578.28603000,27254939.79707820,28390,260.24477000,12266444.63610140
1641114000,47222.40000000,47499.45000000,47144.12000000,47273.24000000,792.44368000,37508111.28133180,30399,404.80037000,19159875.11284420
1641117600,47273.23000000,47348.34000000,47140.30000000,47188.89000000,390.08901000,18437661.80917850,21618,196.35263000,9280986.39680330
1641121200,47188.88000000,47400.00000000,47159.57000000,47235.50000000,359.02993000,16973153.65375930,21474,188.87582000,8929688.90123580
1641124800,47238.89000000,47447.00000000,47013.50000000,47292.95000000,798.05773000,37687789.89115280,32247,361.76746000,17083929.31086680
1641128400,47289.67000000,47300.86000000,47090.00000000,47137.35000000,580.44121000,27379356.58907470,25806,312.89363000,14757715.07758900
1641132000,47137.35000000,47202.39000000,47020.00000000,47112.55000000,617.66611000,29105931.94147110,31910,329.04034000,15505563.21310160
1641135600,47112.54000000,47390.00000000,47071.27000000,47340.47000000,784.16369000,37034369.04579930,35285,397.31623000,18768284.21793140
1641139200,47340.47000000,47886.00000000,47273.64000000,47792.30000000,1367.56950000,65059041.57030510,46452,789.72096000,37572637.66053260
1641142800,47792.29000000,47990.00000000,47317.46000000,47401.14000000,1440.59237000,68642927.26575060,49654,660.58946000,31482759.06059580
1641146400,47401.14000000,47401.14000000,46654.00000000,47058.12000000,1852.33799000,87074188.16296400,54581,901.09659000,42355862.10813600
1641150000,47056.43000000,47217.10000000,46851.51000000,46907.68000000,937.38607000,44050432.70091680,31283,436.68329000,20523561.82876650
1641153600,46907.67000000,47050.00000000,46815.17000000,47007.14000000,570.22257000,26773711.71313630,25337,249.03083000,11693858.33988520
1641157200,47007.14000000,47187.98000000,46913.27000000,47018.03000000,432.59568000,20353215.00178130,21711,216.58568000,10190204.44164630
1641160800,47017.98000000,47398.99000000,47014.84000000,47255.38000000,683.72196000,32298092.83317280,26913,405.25006000,19145211.88503080
1641164400,47255.39000000,47469.34000000,47255.38000000,47286.18000000,749.48136000,35488094.22203760,23993,375.39151000,17773425.89081870
1641168000,47286.18000000,47289.11000000,47050.00000000,47050.08000000,734.11794000,34631424.48583810,29032,381.19435000,17983193.04648950
1641171600,47050.09000000,47138.78000000,46950.00000000,47116.71000000,628.05580000,29545322.68468710,24231,313.68716000,14756750.03579330
1641175200,47116.22000000,47116.71000000,46858.44000000,46999.98000000,781.70714000,36713937.08265820,28474,364.27505000,17106439.88661240
1641178800,46999.98000000,47084.80000000,46722.39000000,46793.26000000,850.43854000,39858845.72680410,28247,432.49171000,20267174.33237960
1641182400,46793.27000000,46944.77000000,46750.00000000,46822.26000000,688.49875000,32259048.56848180,23199,379.83291000,17796978.28456380
1641186000,46822.26000000,47211.09000000,46750.13000000,47078.64000000,918.62173000,43151873.19477830,26773,461.66261000,21687109.42594390
1641189600,47078.64000000,47100.00000000,46877.84000000,46923.75000000,596.63069000,28040771.19440420,23073,295.97578000,13909578.67795990
1641193200,46923.75000000,47080.00000000,46852.38000000,47051.37000000,635.22586000,29829890.67781440,24942,318.83846000,14971673.14383810
1641196800,47051.36000000,47135.97000000,46922.27000000,46978.82000000,684.64114000,32190242.65191630,28436,314.15008000,14770155.05745230
1641200400,46978.81000000,47109.25000000,46778.00000000,46984.55000000,987.07117000,46306909.11710720,33833,487.85317000,22889498.02637880
1641204000,46984.56000000,47251.19000000,46981.84000000,47126.02000000,1138.98932000,53693996.62916370,36191,549.46329000,25899146.87739880
1641207600,47126.02000000,47431.67000000,47125.48000000,47378.00000000,1451.68910000,68664798.55434010,38954,759.24711000,35913131.06744590
1641211200,47378.00000000,47570.00000000,47175.01000000,47194.39000000,1183.63545000,56066096.43290830,44228,578.01569000,27387068.50520460
1641214800,47194.39000000,47495.96000000,47127.51000000,47153.50000000,813.83783000,38467412.18098470,32898,404.96521000,19143833.30117080
1641218400,47153.50000000,47285.39000000,46765.00000000,46874.53000000,1711.43000000,80441655.49156010,50675,757.67928000,35626009.41426970
1641222000,46874.53000000,47018.00000000,46575.25000000,46693.45000000,1754.81723000,82124492.15011020,52298,877.87409000,41086011.64590060
